,0
0,Algeria
1,Angola
2,Benin
3,Botswana
4,Burkina Faso
5,Burundi
6,Cameroon
7,Cape Verde
8,Central African Republic
9,Chad
10,Comoros
11,Congo
12,Cote D'Ivoire
13,Democratic Republic Of Congo
14,Djibouti
15,Egypt
16,Equatorial Guinea
17,Eritrea
18,Ethiopia
19,Gabon
20,Gambia
21,Ghana
22,Guinea
23,Guinea-Bissau
24,Kenya
25,Lesotho
26,Liberia
27,Libya
28,Madagascar
29,Malawi
30,Mali
31,Mauritania
32,Mauritius
33,Mayotte
34,Morocco
35,Mozambique
36,Namibia
37,Niger
38,Nigeria
39,Reunion
40,Rwanda
41,Saint Helena
42,Sao Tome And Principe
43,Senegal
44,Seychelles
45,Sierra Leone
46,Somalia
47,South Africa
48,South Sudan
49,Sudan
50,Swaziland
51,Tanzania
52,Togo
53,Tunisia
54,Uganda
55,Western Sahara
56,Zambia
57,Zimbabwe
